"location_name","latitude","longitude","date_time","five_minute_rainfall"
"Calaveras Creek Dam","29.36972","-98.33231","2018-07-05 03:25:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-07-05 03:50:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-07-05 04:00:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-07-05 04:05:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-07-05 04:10:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-07-05 04:20:00","0.03"
"Calaveras Creek Dam","29.36972","-98.33231","2018-07-05 04:25:00","0.03"
"Calaveras Creek Dam","29.36972","-98.33231","2018-07-05 04:30:00","0.02"
"Calaveras Creek Dam","29.36972","-98.33231","2018-07-05 04:50:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-07-05 05:00:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-07-05 05:10:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-07-05 05:15:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-07-05 05:20:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-07-05 05:30:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-07-06 06:15:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-07-06 06:20:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-07-06 06:25:00","0.05"
"Calaveras Creek Dam","29.36972","-98.33231","2018-07-06 06:30:00","0.02"
"Calaveras Creek Dam","29.36972","-98.33231","2018-07-06 06:35:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-07-07 00:10:00","0.03"
"Calaveras Creek Dam","29.36972","-98.33231","2018-07-07 00:15:00","0.06"
"Calaveras Creek Dam","29.36972","-98.33231","2018-07-07 00:20:00","0.06"
"Calaveras Creek Dam","29.36972","-98.33231","2018-07-07 00:25:00","0.02"
"Calaveras Creek Dam","29.36972","-98.33231","2018-07-07 00:45:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-07-07 14:35:00","0.07"
"Calaveras Creek Dam","29.36972","-98.33231","2018-07-07 14:40:00","0.1"
"Calaveras Creek Dam","29.36972","-98.33231","2018-07-07 14:55:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-07-07 15:00:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-07-07 15:05:00","0.11"
"Calaveras Creek Dam","29.36972","-98.33231","2018-07-07 15:10:00","0.11"
"Calaveras Creek Dam","29.36972","-98.33231","2018-07-07 15:15:00","0.06"
"Calaveras Creek Dam","29.36972","-98.33231","2018-07-07 15:20:00","0.01"
