,addresses,zip,lat,long,short-zip
2768,1132 Woodlawn W,78201-5731,29.4529,-98.513181,78201
2769,602 Claude W Black,78203-1400,29.414435,-98.475614,78203
2770,328 Kathy,78223-1254,29.375997,-98.465384,78223
2771,300 Petaluma Blvd E,78221-3337,29.33914,-98.497261,78221
2772,1315 Elmendorf N E,,29.425173,-98.494599,
2773,100 Mission Rd,78210-2709,29.401584,-98.487578,78210
2774,1000 Wilson Blvd,78228,29.456951,-98.539182,78228
2775,6118 Rose Valley,78242-2521,29.346229,-98.622654,78242
2776,6002 Elm Valley,78242-1614,29.360858,-98.618907,78242
2777,1329 Lee Hall,78201-3611,29.476041,-98.516747,78201
2778,246 Rice Rd,78220-3330,29.408873,-98.417684,78220
2779,7220 Marbach Rd,78227-1916,29.417758,-98.632358,78227
2780,186 Shadow Valley,78227-4832,29.361629,-98.641108,78227
2781,2334 Winning Colors,78248-2515,29.578021,-98.531163,78248
2782,8103 North Holw,78240,29.51595,-98.60118,78240
2783,6810 King Henry,78229-4917,29.497493,-98.587269,78229
2784,1623 Hermine Blvd,78201-2320,29.482571,-98.521703,78201
2785,12506 La Bahia,78233-6323,29.551845,-98.392354,78233
2786,3320 Commercial Ave,78221-2657,29.343807,-98.516226,78221
2787,8607 Village Dr,78217-5505,29.519215,-98.427466,78217
2788,139 Hermitage Ct,78223-2037,29.371979,-98.471497,78223
2789,5525 Evers Rd,78238-1805,29.487884,-98.596681,78238
2790,1219 Culebra Rd,78201-6008,29.445521,-98.527878,78201
2791,15900 Us Hwy 281 N,78232-3727,29.586343,-98.474667,78232
2792,1402 Clower,78201-3625,29.477688,-98.517453,78201
2793,500 Summer,78258,29.616757,-98.497756,78258
2794,11062 Kimes Park Dr,78249-4448,29.551495,-98.636986,78249
2795,5025 Timberhill Dr,78238-3500,29.481367,-98.628295,78238
2796,1303 Springvale Dr,78227-4715,29.38527,-98.637439,78227
2797,25001 Granite Path,78258-1924,29.64877,-98.500981,78258
2798,3200 Woodcliffe Dr,78230-5026,29.514656,-98.54352,78230
2799,8400 Starcrest Dr,78218-2429,29.514291,-98.422853,78218
2800,5343 Trading Post,78242-3017,29.336159,-98.602687,78242
2801,5602 Mcqueen,78240-2437,29.49786,-98.596623,78240
2802,934 Texas Ave,78201-6041,29.448689,-98.52829,78201
2803,1503 Socorro St,78214-3447,29.316035,-98.473457,78214
2804,375 Airlift Dr,78226-1804,29.373088,-98.568335,78226
2805,1318 Rigsby Ave,78210-3760,29.398108,-98.447842,78210
2806,6305 Cagnon Rd,78252,29.369882,-98.707294,78252
2807,1438 Santa Monica,78201-4158,29.471998,-98.518868,78201
2808,534 Hunt Ln,78245-1220,29.427652,-98.66897,78245
2809,906 Fredericksburg Rd,78201-5747,29.451987,-98.513838,78201
2810,234 Charles Rd,78209-5927,29.473831,-98.455945,78209
2811,9768 Potranco Rd,78251-9615,29.437349,-98.681977,78251
2812,300 Quill Dr W,78228-3815,29.466264,-98.574568,78228
2813,9800 Potranco Rd,78251-9600,29.436842,-98.683798,78251
2814,10134 Huebner Rd,78240-1372,29.537598,-98.586005,78240
2815,1527 Santa Anna,78201-4124,29.471187,-98.520178,78201
2816,1527 Santa Anna,78201-4124,29.471187,-98.520178,78201
2817,2500 Hackberry St S,78210-5041,29.392054,-98.473486,78210
2818,9139 Lytle Ave,78224-2245,29.331538,-98.541442,78224
2819,123 Christine Dr,78223-1213,29.37964,-98.468418,78223
2820,1118 Baetz Blvd W,78221-3113,29.332388,-98.522044,78221
2821,9114 Hugo Cir,78224-2320,29.332314,-98.523678,78224
2822,16002 Nacogdoches Rd,78247-1001,29.586613,-98.360627,78247
2823,3211 Leewood,78230-4901,29.516001,-98.545003,78230
2824,7019 Washita Way,78256-2343,29.608326,-98.617926,78256
2825,25675 Overlook Pkwy,78260-2506,29.681761,-98.457118,78260
2826,223 Avondale Ave,78223-2543,29.370614,-98.467288,78223
2827,7930 Flores St S,78221-2416,29.346673,-98.486634,78221
2828,670 Ellor Dr,78228-5921,29.448927,-98.577696,78228
2829,1114 Ellison Dr S,78245-1418,29.425748,-98.679263,78245
2830,3242 Rock Creek Run,78230-3838,29.518357,-98.547828,78230
2831,2027 Jennifer Dr,78224-2540,29.32501,-98.54112,78224
2832,6810 King Henry,78229-4917,29.497493,-98.587269,78229
2833,118 Sharon Dr,78216-7318,29.502266,-98.497037,78216
2834,4300 Commerce St W,78237-1624,29.430053,-98.546825,78237
2835,11911 Ih 10 W,78230-1012,29.553079,-98.58622,78230
2836,310 Dartmoor Dr,78227-4309,29.384745,-98.650207,78227
2837,12615 Judson Rd,78233-4104,29.554408,-98.356751,78233
2838,5923 Fir Valley Dr,78242-1630,29.359961,-98.618579,78242
2839,2334 Winning Colors,78248-2515,29.578021,-98.531163,78248
2840,630 Ware Blvd,78221-1938,29.34894,-98.491038,78221
2841,4403 Houston St E,78220-1608,29.424472,-98.40908,78220
2842,8811 Jones Maltsberger Rd,78216,29.521767,-98.484383,78216
2843,207 Oconee,78211,29.365311,-98.524852,78211
2844,8900 Garnett Ave,78221,29.334626,-98.510823,78221
2845,2606 Darwin,78228-3450,29.46267,-98.599163,78228
2846,102 Fordham,78228-4902,29.454618,-98.558005,78228
2847,308 Kathy,78223-1254,29.376011,-98.466319,78223
2848,2119 Chesterhill,78228-3612,29.457499,-98.592458,78228
2849,215 Alexander Hamilton,78228-3223,29.466273,-98.54326,78228
2850,1600 Trinity N,78207,29.434014,-98.517078,78207
2851,13616 Primwood,78233-4972,29.565283,-98.37911,78233
2852,4300 Houston St E,78220,29.424834,-98.412058,78220
2853,6914 Martinique,78227-3636,29.408064,-98.627337,78227
2854,7431 Elderberry,78240-3700,29.521951,-98.630752,78240
2855,5700 Elm Valley,78242-1735,29.36005,-98.613411,78242
2856,802 Cougar Country,78251-4048,29.440502,-98.699527,78251
2857,519 Weizmann,78213-4643,29.492397,-98.512479,78213
2858,242 Hillwood,78213-4622,29.491285,-98.5111,78213
2859,127 Coronado,78237-3825,29.414381,-98.559962,78237
2860,203 High Ave W,78210-2928,29.401825,-98.475788,78210
2861,12422 Bret Spgs,78233-4604,29.553525,-98.362753,78233
2862,5800 Gardenwood,78233-4418,29.571367,-98.375832,78233
2863,6000 Ih 10 E,78219,29.441275,-98.371764,78219
2864,1527 Sunshine W,,29.425173,-98.494599,
2865,1114 Onslow,78202,29.428554,-98.443861,78202
2866,6061 De Zavala Rd,78249-2214,29.563029,-98.604851,78249
2867,3210 Woodcrest Dr,78209-3138,29.502698,-98.43757,78209
2868,2723 Lakehaven,78222-1635,29.395785,-98.377218,78222
2869,3243 Rock Creek Run,78230-3835,29.518706,-98.547965,78230
2870,1600 Sherman St,78202-1665,29.43397,-98.454625,78202
2871,7100 Woodgate,78227-1937,29.418828,-98.630827,78227
2872,1218 Mariposa W,78201-2910,29.480633,-98.51473,78201
2873,8503 Huebner Rd,78240-1804,29.515935,-98.607582,78240
2874,2630 Sally Gay,78216-5103,29.524322,-98.490738,78216
2875,8035 Culebra Rd,78251-1632,29.465681,-98.645808,78251
2876,4700 Thousand Oaks,78233,29.538491,-98.395497,78233
2877,434 Stardust St,78228-2761,29.469822,-98.587222,78228
2878,704 Milvid Ave,78211-2126,29.369771,-98.531962,78211
2879,205 Dorsey,78221-3416,29.334615,-98.507784,78221
2880,302 Kate Schenck Ave,78223-3310,29.361289,-98.43118,78223
2881,207 High Ave W,78210-2928,29.40159,-98.475481,78210
2882,6305 Cagnon Rd,78252,29.369882,-98.707294,78252
2883,1703 Donaldson Ave,78228-3028,29.465335,-98.557479,78228
2884,8600 Mission Pkwy,78223,29.340658,-98.458851,78223
2885,225 Briggs Ave,78211-3603,29.355401,-98.556091,78211
2886,6305 Cagnon Rd,78252,29.369882,-98.707294,78252
2887,2700 Hunt Ln,78227,29.402602,-98.663136,78227
2888,1703 Donaldson Ave,78228-3028,29.465335,-98.557479,78228
2889,7900 Us Hwy 281 N,78216,29.509441,-98.47748,78216
2890,1613 Patricia Dr,78213-1207,29.549165,-98.519442,78213
2891,600 Devine Rd,78212,29.479289,-98.479112,78212
2892,7515 Robin Rest Dr,78209-3135,29.502112,-98.436296,78209
2893,4400 Dividend Dr,78219-2639,29.440942,-98.409279,78219
2894,1300 Del Lago Pkwy,78221-3172,29.304008,-98.476556,78221
2895,7600 Jones Maltsberger Rd,78209,29.502775,-98.481743,78209
2896,6075 Ih 10 E,78219,29.44359,-98.36656,78219
2897,7523 Buckboard,78227-2710,29.404781,-98.63874,78227
2898,1127 Rayburn Dr,78221-1450,29.357782,-98.524353,78221
2899,4601 Schertz Rd,78233,29.541617,-98.401162,78233
2900,5219 De Zavala Rd,78249-1712,29.564485,-98.587078,78249
2901,2922 Blanco Rd,78212-1813,29.473711,-98.507866,78212
2902,3314 Scenic Ln,78230-3455,29.538333,-98.549043,78230
2903,263 Harwood,78213-4521,29.489616,-98.525041,78213
2904,300 Kings Ct,78212-3578,29.454877,-98.484911,78212
2905,14027 Dublin Square,78217-1601,29.568355,-98.412979,78217
2906,7515 Robin Rest Dr,78209-3135,29.502112,-98.436296,78209
2907,1119 Garraty Rd,78209-6014,29.474917,-98.437909,78209
2908,9100 Powhatan,78230-4446,29.521298,-98.547119,78230
2909,100 Arrowhead,78228-1803,29.482204,-98.573458,78228
2910,1602 Basse Rd,78213-4602,29.488562,-98.509247,78213
2911,2214 Andros Place,78227-2934,29.409103,-98.625205,78227
2912,219 Warwich,78216-6159,29.516378,-98.50363,78216
2913,5500 Midcrown Dr E,78218-6071,29.492956,-98.382532,78218
2914,211 Lemonwood Dr,78213-2410,29.521227,-98.522083,78213
2915,1300 Ervin,78208-1812,29.440229,-98.449198,78208
2916,12819 St Leger,78233-5135,29.557686,-98.37246,78233
2917,485 Quentin Roosevelt Rd,78226-1845,29.375484,-98.560748,78226
2918,200 34Th St Nw,,29.425173,-98.494599,
2919,2600 Ezell,78203,29.419025,-98.444415,78203
2920,1470 Austin Hwy,78209-4338,29.493284,-98.434574,78209
2921,1602 San Francisco,78201-4334,29.468763,-98.520929,78201
2922,915 Shearer,78201-3736,29.469169,-98.534217,78201
2923,109 Dover Rd,78209-6169,29.470566,-98.444675,78209
2924,3847 Thousand Oaks,78217-1951,29.559546,-98.419308,78217
2925,12300 Independence Ave,78233-5212,29.552112,-98.372633,78233
2926,1400 Craig Place W,78201-5540,29.452037,-98.517239,78201
2927,2600 Harry Wurzbach,78209-5056,29.49058,-98.431421,78209
2928,10334 Oasis,78216-4001,29.533305,-98.491652,78216
2929,5830 Lubbers Way,78242-2934,29.338258,-98.611525,78242
2930,11333 Mission Trace,78230-2138,29.546723,-98.557604,78230
2931,14738 Highland Ridge,78233-3858,29.578742,-98.355428,78233
2932,410 Amanda,78220-3103,29.410014,-98.43685,78220
2933,427 Glenn E,78204-2742,29.390466,-98.499816,78204
2934,319 Quentin Dr,78201-3733,29.468643,-98.535111,78201
2935,8446 Vidor,78216-6043,29.515429,-98.472677,78216
2936,204 Frank Luke Dr,78226-2007,29.384945,-98.574079,78226
2937,1019 Mt Riga,78213-2031,29.535208,-98.507487,78213
2938,600 Oblate,78216-7326,29.50433,-98.497603,78216
2939,2006 Fitch,78211-2007,29.370588,-98.535434,78211
2940,5300 Fredericksburg Rd,78229-3502,29.504596,-98.561821,78229
2941,4200 Stockbridge,78230-1654,29.542414,-98.572001,78230
2942,7400 Barlite Blvd,78224-1308,29.352988,-98.546589,78224
2943,13815 Parksite Woods,78249-1822,29.572045,-98.574972,78249
2944,3823 Spear St,78237-2727,29.4212,-98.565194,78237
2945,1515 Contour W,78212-1238,29.486475,-98.496462,78212
2946,12924 Park Crossing,78217-1617,29.559557,-98.415627,78217
2947,735 Avondale Ave,78223-2265,29.37065,-98.453245,78223
2948,8114 Hoovers Bend,78250-3606,29.522885,-98.685222,78250
2949,228 Morningview,78220-3121,29.410374,-98.437497,78220
